text,label
"['riezf', 'kresseek', 'santai', 'gojek', 'chat', 'worst', 'case', 'tinggal', 'fitur', 'peduli', 'lindungi']",1.0
"['prifad', 'gue', 'gojek', 'iya', 'semoga', 'turun', 'berdua', 'menang']",1.0
"['kooalee', 'sepe', 'i', 'gojek', 'gue', 'error']",0.0
"['beralih', 'grab', 'gojek', 'yahudi', 'kaget', 'mam', 'bakso', 'k', 'ya', 'bilang', 'biaya', 'hidup', 'daerah', 'murah', 'gelut']",0.0
"['minggu', 'sepi', 'order', 'sesepi', 'gojek', 'food', 'rekan', 'pesan', 'menit', 'order', 'jalan', 'jalan', 'kemana', 'wkwk']",0.0
"['menemukan', 'gojek', 'jakarta', 'ky', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', 'tspdytycb']",1.0
"['gojek', 'ku', 'promo', 'gofoodnya', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', 'dxcnfoapw']",0.0
"['k', 'kelas', 'k', 'wkwk', 'eh', 'uang', 'ongkos', 'angkutan', 'kota', 'i', 'iritt', 'gojek', 'uang', 'jajan', 'habis', 'bayar', 'gojek', 'sajaa']",0.0
"['bt', 'banget', 'penumpang', 'gojek', 'naikan', 'gojek', 'gue', 'bisabisanya']",0.0
"['anjrrrr', 'gojek', 'paket', 'gue', 'nyasarnya', 'rumah', 'athallah']",0.0
"['iklan', 'gojek', 'palsu', 'banget']",0.0
"['event', 'organizer', 'pel', 'food', 'fess', 'pesan', 'gojek', 'sf', 'suka', 'cepat', 'banget', 'cepat', 'beli', 'wkwk']",1.0
"['rizkitomooo', 'mending', 'gojek', 'gue']",1.0
"['jowrnei', 'iya', 'kadang', 'gojek', 'susah']",0.0
"['tanyakanrl', 'ldr', 'chatnya', 'pakai', 'gojek', 'ya', 'guys', 'aplikasi', 'anak', 'bangsa', 'diblokir']",0.0
"['nonujjeeon', 'lucu', 'banget', 'gojek', 'nya']",1.0
"['urfavboy', 'minat', 'abang', 'gojek']",1.0
"['pas', 'mengambil', 'kue', 'nya', 'gojek', 'nya', 'menyanyikan', 'lagu', 'ulang', 'hshsh', 'ulang', 'ayankk']",0.0
"['yeoxjack', 'pas', 'ramai', 'banget', 'pesan', 'gojek', 'abangnya', 'ngantrinya']",0.0
"['shopee', 'gojek', 'menyedot', 'pengangguran', 'mengurangi', 'karyawan', 'pabrik', 'ikutan', 'dima', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', 'qkhvzlwoo']",1.0
"['baca', 'tnc', 'sih', 'komisi', 'gojek', 'biaya', 'app', 'platform', 'bayar', 'pas', 'co', 'deh', 'sepengetahuanku', 'beda', 'wkwk']",1.0
"['urusan', 'babi', 'okelah', 'silakan', 'minuman', 'keras', 'pas', 'pemesan', 'anak', 'umur', 'dijalani', 'kah', 'orderannya', 'om', 'aturan', 'akun', 'gojek', 'customer', 'mesti', 'umur', 'tnggung', 'moral', 'mudahan', 'sih', 'om', 'lancarkan', 'orderannya']",0.0
"['sisa', 'kupon', 'haha', 'terima', 'kasih', 'gojek']",1.0
