tweet,Compound_Score,Sentiments
relax gojek chat worst case only care features protect,0.5574,Positif
"privately, I take a motorcycle taxi, hopefully both of them will win",0.7579,Positif
like my gojek error,-0.0516,Negatif
"while grabbing the gojek jew user, don't be surprised if the cost of living in the area is cheap",-0.1695,Negatif
it's been a quiet week ordering sep gojek food cs order minutes which way to order,0.0,Positif
find gojek dijkt gin,0.0,Positif
why is my gojek promo gofood,0.0,Positif
"class room, the cost of public transportation is economical, gojek, pocket money after paying for gojek, only later",0.0,Positif
"bt ride a go-jek, take a go-jek as much as possible",0.0,Positif
anjirrrr this old dj went on a gojek with my package looking for it at atallah's house,0.0,Positif
"I met an elderly gocar driver who was annoying when I complained about my belongings, I brought a complaint to my gopay payment while walking, I changed my go-pay payment, didn't I prohibit go-Jek, the driver said, if you pay using gopayga, you pick up arrogant amit",-0.8807,Negatif
fake gojek ad,-0.4767,Negatif
mop fess but penny gojeksf likes to buy quickly,0.5719,Positif
please gojek me,0.3182,Positif
Grab Gojek only,0.0,Positif
it's true sometimes gojek is hard to get,0.34,Positif
"the ldr chat uses gojek, the nation's children's application is blocked",-0.2732,Negatif
gojek app,0.0,Positif
"hi, sis, detailed information, experiencing problems with the phone number, registering a goje account",-0.34,Negatif
his gojek is so funny,0.5777,Positif
gojek brother interest,0.4588,Positif
"Then really, I've been using the Gojek app, it's a technology effort, I forgot to ask my name",0.0,Positif
"When I took the cake, gojek, tbtb, said, singing the song again, hshsh, ayankk's birthday",0.0,Positif
need gojek gosend voucher free dm add xp hihihi,0.7096,Positif
"when it's busy, then I always go-jek, my brother queues up",0.0,Positif
"Shopee Go-Jek sucks wine, less factory employees are eaten",-0.3612,Negatif
"holaaa, I just found out I've never used a gojek",0.0,Positif
Read TNC Gojek Commission Fee AppPlatform Pay When You Know,-0.1027,Negatif
"If you take care of pigs, it's okay, drink alcohol when it turns out that the child is perverted",0.1531,Positif
remaining voucher ahahaha thanks gojek,0.4404,Positif
Why is my gojek so stingy,-0.5214,Negatif
"I'm really tired, my brother, Gojek, invites me to talk, I'm lazy",-0.6901,Negatif
gojek brother can't use please help,-0.4973,Negatif
tbtb taman pulomas ride a go-jek sabi,0.0,Positif
"high school gin, Gojek's day allowance, the money was immediately used as gopay, then looked for an account promo promo after borrowing a friend's account",0.0,Positif
"rt assalamualaikum gojek friends militant morning for the three nights struggle, oh god, it's easy to take care of everything",0.8402,Positif
like because this week I use gojek move grab,0.3612,Positif
"it's the turn of duty, need to eat hungry gojek app error stress bete already",-0.6705,Negatif
Chat using Gojek Shopee,0.0,Positif
sharelock later hit gojek,0.0,Positif
go-jek,0.0,Positif
"Gojek is really stingy with promos, I go lazy, it's expensive, it's expensive",-0.659,Negatif
"During school, pocket money on Gojek days, I don't have a motorbike",0.0,Positif
"no photos, open, open the receipt, then complain directly, like gin gojek, pretty fast response when it's been refunded",0.25,Positif
go-jek,0.0,Positif
milnyu sen gojek,0.0,Positif
rt thats the same thing block internet block facebook google site belu,-0.7003,Negatif
"when chatting gojek after a minute, he replied otw wtf anjir was waiting for maps",-0.5859,Negatif
soon mwu gojek kopken,0.0,Positif
Don't be afraid to use a gojek,0.0,Positif
"this is a bad road, a cast road, you care about your own mistakes, what's wrong with the gojek driver",-0.7096,Negatif
"imagine the cost of a gojek on campus to bring a vehicle, there's no anter too",-0.296,Negatif
"hi sis, sorry for the difficulty in selling, information, phone number, email, list, dm, tksari",-0.34,Negatif
expensive gojek,0.0,Positif
"Go-Jek RT is not responsible for helping the application, the report is complete",-0.431,Negatif
send a gojek letter,0.0,Positif
"Gojek, I'm stingy with vouchers",-0.3818,Negatif
I sincerely regret trying to buy cheese on Saturday afternoon,0.0772,Positif
this is gojek anjg rebu voucher only anjritttt,0.0,Positif
rt habede anjay umur tua wish you all the best,0.7845,Positif
Have a nice life and wish you all the best,0.8658,Positif
gojek gopay but grab it why grab it,0.0,Positif
really want to get a gojek,0.1513,Positif
"I forgot to write the order note, write my name in the coffee cup, but write my name",0.0,Positif
"RT, dear KRL station, just advice on the gojek application",0.3818,Positif
but I'm worried that your Gojek account won't recover your account,-0.4215,Negatif
"Sarinah area roads force maps kilo gojek to go around choosing the path of hope, it's really a sphere of influence",0.4404,Positif
with gojek sabi,0.0,Positif
"Hbs look at Ava Doi, it's like a gojek",0.3612,Positif
couldn't imagine the points of gojek stray times grgr the map location is wrong,-0.4767,Negatif
im gopay apk gopay in stupid gojek,-0.5267,Negatif
engga tetep takut also got confused people wearing lenses sti,-0.3182,Negatif
my competition gojek,0.0,Positif
"really, cuy, its not a big deal, the limit for dropping off at night is the position, gbs girlfriend picks up at night, it's scary to ride a gojek like that",-0.1779,Negatif
"I want to use gopay, separate gojek dots",0.0772,Positif
top up pulse gojek why hhhh,0.2023,Positif
"Bismillah, go-jek is full of yagesyak",0.0,Positif
"remember last night when baltos went home, the gojek fell down because of",0.0,Positif
ok gojek,0.296,Positif
"fun cake for fun, register a gojek friend",0.8689,Positif
willing to go-jek,0.0,Positif
security guard gojek brother,0.34,Positif
you know i ride a motorcycle taxi,0.0,Positif
sleep deprived when you go home with gojek or not,-0.4767,Negatif
wide range of transportation area distance mrt train station at home,0.0,Positif
the pick up will not go grab gojek or angkot,0.0,Positif
"send it by gojek, i need my wallet if i send a package",0.0,Positif
Gojek Grab doesn't make it clear to give promo intentions,-0.2924,Negatif
"mortal yes, sometimes it's cheap to use a paylater, gojek gives you vouchers",0.4019,Positif
"lazy to use gojek, I don't get a gofood voucher",-0.3612,Negatif
fix gojek there pick up,0.0,Positif
Have you ever chatted with Gojek?,0.0,Positif
"mmortal is really great, go-jek cs hub ken",0.659,Positif
"unrelated, after high school, umkm waiting for a gojek by the side of the road alone, tb the motorbike stopped, where's the deck, let's go there together, refuse to ask me about the direction of my house",-0.6249,Negatif
gojek rear view photo,0.0,Positif
gojek mihil,0.0,Positif
get voc gojekgofood samsek,0.0,Positif
"mortal didn't get bro, report gojek, see it's not there",0.0,Positif
let's use gojek,0.0,Positif
bad day angry surprised starting to get scolded by angkot drivers being scolded by gojek,-0.7096,Negatif
"I gojek gossiping about the customer, God, don't let me be gossiped if it's weird hahahah",-0.5106,Negatif
linetele syopi gojek onok,0.0,Positif
"In the world of Gojek apk, you don't have to depend on your girlfriend, you're ashamed of your mother",-0.4767,Negatif
"join the gojek group with the intention of finding interesting stories, you know it's sad",0.2023,Positif
"nihhh, the goride promo has gone by gojek",0.0,Positif
"this is a gojek, the distance is rich, the distance is better for the MRT",0.7579,Positif
"elite house at the time brother grabgojek passed the flyover construction bwah the flyover was overturned by iron, how is the brake",0.0,Positif
think about applying for gojek,0.0,Positif
"better find a boarding house near the office, the road isn't jammed, it's cost-effective",0.4404,Positif
far away lazy gojek angry online,-0.7003,Negatif
open the gojekgrab application and stay there,0.0,Positif
good night to st.rangasbitung electronic money station service ticket transactions thb guarantee day please kmt e-money bank emoney flazz brizzi tapcashpayment linkajagojek application tks,0.7351,Positif
ask gojek brother to take it,0.0,Positif
"Expect to cook, because you live in a village, Mamak is able to cook perfectly, the person is lazy, looking for outside food, gojek, gojek",0.4019,Positif
guys just hanging out wine,0.0,Positif
"decided meaning so I choose gojek, I don't have the heart to cross",-0.5216,Negatif
"believe in gojek, eat scroll, buy because you are confused about eating",-0.3182,Negatif
"Yesterday, the fake taxi, the father gave the price according to the Gojek Grab app, huhu, after a thousand ujan, the distance is kilos",-0.4767,Negatif
Goblo cook wrong basic life skills wasteful life,-0.4767,Negatif
The gojek driver in Jakarta is really great looking for a way through the narrow shirot bridge algae,0.659,Positif
gojek promo money,0.0,Positif
Go-Jek traffic jam arrived,0.0,Positif
when you're tired and go-Jek comes and eats that flavor lol,-0.0258,Negatif
next promo gojekgrab teach,0.0,Positif
go-jek,0.0,Positif
"after the gojek money, it hurts to bring a motorbike",-0.4767,Negatif
feel happy when in a bad mood full day school when you get home you get a friendly gojek driver,0.5267,Positif
every ipoint see gojek grab,0.0,Positif
go-jek,0.0,Positif
"Gojek, the chat is playing",0.2023,Positif
"I miss my go-Jek taking me so much, talking to you for a quiet walk",-0.1531,Negatif
Go-Jek chat just sucks,-0.3612,Negatif
Gojek train departs,0.0,Positif
Tired of living a gojek life,-0.4404,Negatif
"if you buy a starbuck's gojek, you can get a blt until it bloats",0.0,Positif
"casually order gojek hours, know the train schedule, hours, distance from home, station, minutes, thumbs up, stupid",-0.4019,Negatif
want to close service google gofood gojek grabfood grab apps bus service cool street location,0.3818,Positif
"yalord humans die quickly, gin and very stingy, the type to give tips, brother",-0.7778,Negatif
